date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
16-11-16,61,45,53,0,0,0
17-11-16,61,49,55,0,0,0
18-11-16,64,44,54,0,0,0
19-11-16,63,37,50,0.25,0,0
20-11-16,42,34,38,0.31,T,0
21-11-16,41,36,38.5,0,0,0
22-11-16,41,37,39,0,0,0
23-11-16,45,35,40,0,0,0
24-11-16,48,38,43,0.03,0,0
25-11-16,54,45,49.5,0.02,0,0
26-11-16,50,40,45,0,0,0
27-11-16,50,39,44.5,0,0,0
28-11-16,52,38,45,0,0,0
29-11-16,60,51,55.5,2.2,0,0
30-11-16,58,50,54,0.73,0,0
01-12-16,54,42,48,0.07,0,0
02-12-16,51,40,45.5,0,0,0
03-12-16,47,41,44,T,0,0
04-12-16,47,39,43,0,0,0
05-12-16,49,38,43.5,0.19,0,0
06-12-16,46,37,41.5,0.35,0,0
07-12-16,46,40,43,0.09,0,0
08-12-16,45,35,40,0,0,0
09-12-16,39,29,34,0,0,0
10-12-16,35,28,31.5,0,0,0
11-12-16,35,28,31.5,0.03,0.4,0
12-12-16,46,34,40,0.5,0,0
13-12-16,43,35,39,0,0,0
14-12-16,42,34,38,0,0,0
15-12-16,34,19,26.5,0,T,0
16-12-16,27,17,22,0,0,0
17-12-16,39,24,31.5,0.73,2.8,2
18-12-16,58,31,44.5,0.04,0,1
19-12-16,31,23,27,0,0,0
20-12-16,33,20,26.5,0,0,0
21-12-16,40,30,35,0,0,0
22-12-16,49,37,43,0,0,0
23-12-16,47,38,42.5,0,0,0
24-12-16,47,38,42.5,0.47,0,0
25-12-16,50,36,43,0,0,0
26-12-16,50,33,41.5,0.02,0,0
27-12-16,60,40,50,0,0,0
28-12-16,40,34,37,0,0,0
29-12-16,46,33,39.5,0.39,0,0
30-12-16,40,33,36.5,0.01,T,0
31-12-16,44,31,37.5,0,0,0
