x1,x2,x3,x4,x5,x6,x7,x8,x9,label
14,-48,1,18,-50,0,22,-52,-5,NROI
-48,1,33,-50,0,33,-52,-5,33,NROI
-25,7,0,-26,7,1,-31,7,0,NROI
7,0,-13,7,1,-15,7,0,-12,NROI
13,0,-65,14,-2,-91,13,1,-124,NROI
7,-58,5,5,-84,-12,8,-117,0,NROI
-46,17,-6,-72,0,9,-105,12,13,NROI
8,-15,-13,-9,0,-8,3,4,58,NROI
-15,-13,-9,0,-8,65,4,58,64,NROI
-59,-55,-13,-54,19,35,12,18,0,NROI
-70,-28,-59,4,20,0,3,-15,21,NROI
-13,-44,-3,35,15,15,0,36,-89,NROI
-41,0,30,18,18,-130,39,-86,-94,NROI
87,117,-14,105,-43,-24,1,-7,0,NROI
141,10,-21,-19,0,-2,17,24,-17,NROI
10,-21,-26,0,-2,63,24,-17,10,NROI
-19,-24,-29,0,65,78,-15,12,115,NROI
-89,-94,0,0,13,-47,-53,50,82,NROI
-107,-13,-14,0,-60,72,37,69,65,NROI
-72,-73,0,-119,13,7,10,6,-1,NROI
-72,1,-1,14,8,-41,7,0,-76,NROI
42,40,-48,49,0,-69,41,-35,-69,NROI
106,18,0,66,-3,-2,31,-3,-2,NROI
18,0,3,-3,-2,2,-3,-2,1,NROI
-2,1,4,-4,0,3,-4,-1,2,NROI
-2,1,63,-3,0,57,-4,-1,57,NROI
-50,12,-4,-51,6,0,-52,6,4,NROI
2,-4,-72,2,0,-74,3,1,-75,NROI
23,-45,5,27,-47,0,28,-48,-2,NROI
-45,5,38,-47,0,38,-48,-2,36,NROI
-26,7,1,-31,7,0,-33,5,-3,NROI
7,1,-15,7,0,-12,5,-3,-16,NROI
16,0,-89,15,3,-122,12,-1,-8,NROI
5,-84,-12,8,-117,0,4,-3,2,NROI
-81,-9,0,-114,3,4,0,5,76,NROI
-13,-4,-12,-1,0,54,1,72,70,NROI
-64,-72,1,-60,-6,0,12,10,9,NROI
-73,0,16,-7,-1,-19,9,8,11,NROI
0,16,-4,-1,-19,17,8,11,-107,NROI
20,0,0,-15,21,-104,15,-103,-104,NROI
103,103,-45,124,-1,-9,0,-1,4,NROI
105,-43,-24,1,-7,0,1,6,-19,NROI
-19,0,-2,17,24,-17,30,5,-20,NROI
0,-2,63,24,-17,10,5,-20,-27,NROI
-12,53,66,-27,0,103,-30,-37,133,NROI
-13,0,-60,-66,37,69,-103,67,55,NROI
-64,-124,8,-27,5,1,3,-9,0,NROI
-124,8,2,5,1,-6,-9,0,-15,NROI
14,8,-41,7,0,-76,6,-9,-107,NROI
84,35,-34,76,0,-34,67,-31,-35,NROI
68,-1,0,33,-1,0,2,-2,8,NROI
-1,0,4,-1,0,3,-2,8,15,NROI
-6,-2,1,-6,-3,0,2,9,6,NROI
-8,-5,52,-9,-6,52,3,0,53,NROI
-55,2,-4,-56,2,0,-50,3,1,NROI
1,-1,-75,2,0,-76,1,8,-78,NROI
29,-45,2,30,-46,0,38,-48,-2,NROI
-45,2,40,-46,0,38,-48,-2,38,NROI
-28,10,3,-30,8,0,-32,8,0,NROI
10,3,-9,8,0,-13,8,0,-31,NROI
16,4,-121,13,0,-7,13,-18,-23,NROI
8,-117,0,4,-3,2,-14,-19,67,NROI
-118,-1,0,-4,1,72,-20,66,78,NROI
-67,-66,-12,-65,6,4,0,12,6,NROI
-69,-15,-9,3,1,0,9,3,-1,NROI
-14,-8,-26,2,1,4,4,0,-137,NROI
0,-18,18,9,12,-106,8,-129,-145,NROI
88,124,-1,118,0,-1,-23,-39,103,NROI
124,-1,-9,0,-1,4,-39,103,71,NROI
0,-8,-1,0,5,-20,104,72,23,NROI
0,7,-34,13,-12,-37,80,31,-11,NROI
18,-23,4,-1,-26,-33,42,0,137,NROI
-27,0,103,-30,-37,133,-4,133,125,NROI
-121,-18,14,-158,12,0,12,4,-13,NROI
-27,5,1,3,-9,0,-5,-22,1,NROI
11,7,0,-3,6,-9,-16,7,-79,NROI
16,9,-67,15,0,-98,16,-70,-98,NROI
105,29,-5,96,-2,-6,26,-2,0,NROI
31,-3,-2,0,-4,6,0,2,4,NROI
-5,-4,-1,-6,4,11,0,2,5,NROI
-8,-5,-2,0,7,4,-2,1,8,NROI
-12,-9,49,0,-3,50,-6,1,49,NROI
-57,1,-1,-51,2,0,-47,1,8,NROI
1,-1,-77,0,7,-79,3,14,-80,NROI
32,-44,2,40,-46,0,47,-47,-5,NROI
-44,2,40,-46,0,40,-47,-5,29,NROI
-30,8,0,-32,8,0,-37,-3,11,NROI
8,0,-13,8,0,-31,-3,11,1,NROI
0,-13,-20,0,-31,-36,11,1,21,NROI
0,-7,-2,-18,-23,63,14,34,54,NROI
-58,-53,18,-74,12,24,-17,3,0,NROI
-69,2,0,-4,8,2,-13,-16,6,NROI
2,0,-1,8,2,-2,-16,6,-91,NROI
1,0,3,3,-1,-138,7,-90,-153,NROI
90,93,-25,89,-48,-64,0,-63,10,NROI
118,0,-1,-23,-39,103,-38,35,54,NROI
-9,-10,-5,-48,94,62,26,45,0,NROI
-23,-18,-43,81,49,0,32,-13,14,NROI
0,-25,-50,67,18,-24,5,32,-2,NROI
-23,-48,-55,20,-22,115,34,0,84,NROI
-132,-139,31,-106,31,23,-84,0,25,NROI
-158,12,0,12,4,-13,-19,6,-33,NROI
8,-4,5,0,-17,6,2,-37,-3,NROI
6,15,0,-7,16,-70,-27,7,-83,NROI
85,70,-28,86,0,-28,77,-13,-25,NROI
95,-3,-7,25,-3,-1,12,0,1,NROI
-3,-7,3,-3,-1,1,0,1,5,NROI
-10,0,7,-4,-2,1,-2,2,8,NROI
-2,5,2,-4,-1,6,0,6,-48,NROI
-1,-4,49,-7,0,48,0,-54,51,NROI
-52,1,-1,-48,0,7,-102,3,14,NROI
-3,4,-82,0,11,-83,17,19,-80,NROI
45,-41,5,52,-42,0,60,-39,0,NROI
-41,5,45,-42,0,34,-39,0,33,NROI
-29,11,3,-34,0,14,-34,-1,20,NROI
7,-1,-32,-4,10,0,-5,16,36,NROI
-11,-42,-47,0,-10,10,6,26,48,NROI
-68,-73,13,-36,-16,4,0,22,18,NROI
-77,9,21,-20,0,-3,18,14,-42,NROI
-5,7,1,-14,-17,5,0,-56,5,NROI
10,4,0,-14,8,-89,-53,8,-124,NROI
58,54,-83,62,-35,-98,62,-70,0,NROI
94,-43,-59,5,-58,15,-30,40,0,NROI
-43,-59,83,-58,15,34,40,0,-32,NROI
-59,83,51,15,34,-11,0,-32,-14,NROI
69,37,-12,20,-25,2,-46,-28,0,NROI
62,13,-29,0,27,-7,-3,25,-38,NROI
-12,-54,83,2,-32,52,0,-63,10,NROI
-106,31,23,-84,0,25,-115,-42,14,NROI
25,17,0,-6,19,-20,-48,8,-52,NROI
9,-8,15,11,-28,6,0,-60,-2,NROI
20,43,-43,0,34,-56,-32,26,-72,NROI
99,13,-15,90,0,-12,82,-16,-11,NROI
24,-4,-2,11,-1,0,-5,0,3,NROI
-4,-2,0,-1,0,4,0,3,7,NROI
-5,-3,0,-3,1,7,0,4,-58,NROI
-3,0,7,1,7,-47,4,-58,-67,NROI
-7,0,48,0,-54,51,-65,-74,68,NROI
-51,-3,4,-105,0,11,-125,17,19,NROI
-11,0,-94,6,8,-91,9,16,-91,NROI
52,-42,0,60,-39,0,68,-39,-1,NROI
-42,0,34,-39,0,33,-39,-1,28,NROI
-33,1,15,-33,0,21,-34,-5,33,NROI
-14,0,-10,-15,6,26,-20,18,29,NROI
-18,-28,-8,-12,8,30,0,11,24,NROI
-40,-20,0,-4,18,14,-1,12,3,NROI
-20,0,-3,18,14,-42,12,3,-33,NROI
0,-3,19,14,-42,19,3,-33,-66,NROI
30,52,-45,-9,52,-80,0,-33,37,NROI
62,-35,-98,62,-70,0,-23,47,7,NROI
-6,-69,4,-41,29,-11,76,36,0,NROI
-69,4,23,29,-11,-43,36,0,-18,NROI
15,34,-11,0,-32,-14,11,-7,8,NROI
26,-19,8,-40,-22,6,-15,0,22,NROI
0,27,-7,-3,25,-38,19,41,-80,NROI
0,-34,50,-2,-65,8,14,-107,6,NROI
-42,42,67,-73,0,56,-115,-2,52,NROI
14,39,0,-28,28,-32,-30,24,-51,NROI
15,-24,10,4,-56,2,0,-75,-68,NROI
44,78,-12,12,70,-28,-7,0,-24,NROI
101,11,-1,93,-5,0,23,-1,0,NROI
11,-1,0,-5,0,3,-1,0,2,NROI
-1,0,4,0,3,7,0,2,-64,NROI
-2,2,8,1,5,-57,0,-66,-87,NROI
